pro,fpr,threshold
0.9220984937257228,1.0,0.38
0.9192561759849266,0.8746999515559801,0.385
0.9167196194882853,0.7651083082857452,0.39
0.9136891016830383,0.6675495051529713,0.395
0.9043222395504896,0.5810982886445581,0.4
0.8981069274082774,0.5048603076240707,0.405
0.8924708575052919,0.4400434814617551,0.41000000000000003
0.8869885115875121,0.3847073226817082,0.41500000000000004
0.8823760577511948,0.33809381416219564,0.42
0.8789419354148152,0.29874963530651066,0.425
0.8741298639735444,0.26620579710408376,0.43
0.8694602544725025,0.2371611986123015,0.435
0.8641327952004018,0.21337273083393696,0.44
0.8551770959310345,0.19414236361372392,0.445
0.8448798590999093,0.17799587180603485,0.45
0.8366083871558179,0.16402072640580817,0.455
0.8279397323400941,0.1516534134856154,0.46
0.8176280347100764,0.14089756861918182,0.465
0.8064997303436255,0.13108879070820068,0.47000000000000003
0.7949383451735806,0.12264698851794927,0.47500000000000003
0.7836094360408017,0.1149495700479623,0.48
0.7716982441229919,0.1080956046822554,0.485
0.7618139565798441,0.10166609254898253,0.49
0.7516680451467789,0.09563649352549763,0.495
0.7440551570631427,0.09013041711846242,0.5
0.7360335312774148,0.08495517792043365,0.505
0.7257397506527147,0.08008441802190251,0.51
0.7139579337519018,0.07543361033375476,0.515
0.6985031115585211,0.07083279178433048,0.52
0.6835302528919841,0.06652827249352185,0.525
0.6695373605315256,0.06260094397671778,0.53
0.6553454967834519,0.05901626828352749,0.535
0.6352127956769954,0.05544522599180723,0.54
0.6111649681792148,0.051963255256357935,0.545
0.5901573758808875,0.04881939287736573,0.55
0.5696176036706394,0.045937291806598377,0.555
0.5435474721751011,0.043219700446902896,0.56
0.5237724172621103,0.040666618798279285,0.5650000000000001
0.4958454314179018,0.03837620735131185,0.5700000000000001
0.4754581103989435,0.03622485659933887,0.5750000000000001
0.458121398491828,0.0341789374854009,0.58
0.442859577072446,0.03224208558322328,0.585
0.4253998141374829,0.03046883449868619,0.59
0.4086415224331772,0.028742845872578592,0.595
0.39113392356448934,0.02710047544215393,0.6
0.3722613722987992,0.02552081865849147,0.605
0.35625085610723684,0.024042957939138677,0.61
0.3399715657800252,0.022626901973116748,0.615
0.32314566569367315,0.021236295023172237,0.62
0.30686693266990483,0.020029284546357655,0.625
0.2896997188757428,0.018834089684150443,0.63
0.27387118091203777,0.017727966378214187,0.635
0.2596642250020876,0.016718185775999577,0.64
0.2465393016846635,0.01576657435339049,0.645
0.23416193458825815,0.014835867479702135,0.65
0.22291801872279485,0.013924247368071845,0.655
0.2129348135490805,0.013141690123691306,0.66
0.20284320260325378,0.01236095066617344,0.665
0.19574687108418015,0.011571122274342212,0.67
0.18778215649573968,0.01087490990593862,0.675
0.1800132768717765,0.010195966512730414,0.68
0.1722705440789705,0.009575192299127734,0.685
0.16520968707395556,0.008985320462190487,0.6900000000000001
0.1574415874463827,0.008385450797508541,0.6950000000000001
0.1500398856613391,0.007851930353314144,0.7000000000000001
0.14186383504792563,0.007345676712059834,0.705
0.1331104359383316,0.006797613972964056,0.71
0.12646861832225642,0.006346802831021259,0.715
0.1188006659657945,0.005888720541627773,0.72
0.11313142068313951,0.00542245821135226,0.725
0.10734657496323032,0.005040722970191021,0.73
0.09959619126738428,0.004670803343637155,0.735
0.09291549558989606,0.00428088806159389,0.74
0.08724116648897258,0.003948233065724811,0.745
0.08080001155761961,0.003634664831913793,0.75
0.07519414617090163,0.0033347299995728197,0.755
0.0710028431638092,0.003064788650465944,0.76
0.06635407756170188,0.002784849473614369,0.765
0.061815966103580706,0.0025548994354862896,0.77
0.05809336787223939,0.002333129438240237,0.775
0.05419239241492893,0.002163166366580352,0.78
0.05054903931118332,0.0019877499343324495,0.785
0.04764528929319703,0.001835055837867954,0.79
0.04477707027830856,0.0016778172742467773,0.795
0.041884924215230775,0.001529667644938963,0.8
0.038972503504127606,0.0014006047776892112,0.805
0.036085160571951325,0.001265179656420105,0.81
0.03366287143693833,0.0011415701497583706,0.8150000000000001
0.03098480180825624,0.001023414003684654,0.8200000000000001
0.027933989403561548,0.0009188912590809814,0.8250000000000001
0.025506553091903597,0.0008161863013399815,0.8300000000000001
0.022640103874471858,0.0007271147450690258,0.835
0.020774920489482828,0.0006525854836994507,0.84
0.01929001373870614,0.0005680583945851765,0.845
0.01764150770296152,0.00048534909233357475,0.85
0.016051058153066327,0.00041809097841468985,0.855
0.014933172272504253,0.0003762818805732209,0.86
0.014454055113198529,0.0003481061842017961,0.865
0.013891581578981614,0.0003135682338110174,0.87
0.013365980640727398,0.00029175479145894664,0.875
0.012697247000250376,0.00026267020165618557,0.88
0.012098420959270434,0.000231767824990752,0.885
0.011471614743340353,0.00021268106293269006,0.89
0.010876461470561346,0.00019086762058061928,0.895
0.010055564648598237,0.0001690541782285485,0.9
0.009507038363978119,0.0001490585227391503,0.905
0.008863638925661319,0.00013178954754376092,0.91
0.008212373861742974,0.00011452057234837157,0.915
0.007474640858682088,0.00010543163803500875,0.92
0.006708407591471391,8.998044970229195e-05,0.925
0.0062197316316740525,7.816483509492028e-05,0.93
0.005621458562635033,7.089368764423002e-05,0.935
0.0048529479705950295,6.271364676220348e-05,0.9400000000000001
0.0043106681341975464,4.9989138723495526e-05,0.9450000000000001
0.003530770589594119,4.63535649981504e-05,0.9500000000000001
0.0027270528446999035,4.0900204410132705e-05,0.9550000000000001
0.0021717011128775834,3.09023766654336e-05,0.96
0.0015788186376421672,2.7266802940088468e-05,0.965
0.0011280420692185399,2.2722335783407058e-05,0.97
0.0007704537116301822,1.3633401470044234e-05,0.975
