pro,fpr,threshold
0.999168989516185,1.0,0.28500000000000003
0.9989980303538477,0.9440037256835705,0.29
0.9988505648937576,0.8927400114961753,0.295
0.9986773572239878,0.8445425848708025,0.3
0.996837668771434,0.7991639319995463,0.305
0.994207460006873,0.7567525611671501,0.31
0.9916445415568907,0.7165294046403792,0.315
0.9890871729494859,0.6779710788526124,0.32
0.9868656810864158,0.6411323732681242,0.325
0.9846404171726035,0.6054192547479397,0.33
0.9813127623216882,0.5711484448443114,0.335
0.978523414101582,0.5380796388893695,0.34
0.9751677413938903,0.5055366195477273,0.34500000000000003
0.9719226168788484,0.47477858327902445,0.35000000000000003
0.9681047201637201,0.4452879138286685,0.355
0.9638004718039348,0.4165945752663056,0.36
0.9584247724531214,0.3890431644856615,0.365
0.9532090855438127,0.36279324378620187,0.37
0.9442056769309222,0.3377837757822878,0.375
0.9356015764444118,0.3143680083356883,0.38
0.9264206104894753,0.29199852741299526,0.385
0.9176634151186693,0.27097234958369615,0.39
0.9084665462725797,0.25130341251852745,0.395
0.8988965182805484,0.23308591564729425,0.4
0.8885858357751146,0.21604783408596753,0.405
0.8762599663936415,0.20002095456703825,0.41000000000000003
0.8644369478386701,0.18493558873682409,0.41500000000000004
0.851239749953697,0.17074800114577265,0.42
0.8385391924089423,0.1578840116653498,0.425
0.8221520093282638,0.1460509292100897,0.43
0.8064188895159756,0.1352079019864545,0.435
0.7854312071697945,0.12511750898258847,0.44
0.7654204426784649,0.11590759228179855,0.445
0.7450815408761943,0.10753441643453236,0.45
0.7234921738835025,0.09993454100847217,0.455
0.6991016203444504,0.09307240091277325,0.46
0.6740207457384656,0.08687638535641026,0.465
0.6486849249880038,0.0810605317846178,0.47000000000000003
0.6255152471603128,0.07564742883617566,0.47500000000000003
0.6008164957710425,0.07053566794124262,0.48
0.5781045026840225,0.0656868003529595,0.485
0.5537213305923512,0.06108064047922517,0.49
0.5289526530757946,0.056808023484494576,0.495
0.5042627957105648,0.05289826653824785,0.5
0.4789785540085438,0.04934608293779185,0.505
0.4548041933703997,0.04610100870287385,0.51
0.42909653432862294,0.043045775155573236,0.515
0.4069682926663367,0.04009146956877808,0.52
0.385664428434512,0.03734670965236565,0.525
0.36441034638075076,0.034748054974018255,0.53
0.34333647511302245,0.03232770635923048,0.535
0.3238759110879815,0.030158716427034854,0.54
0.3051608616179938,0.028227147506694885,0.545
0.28840909101243717,0.026321050881149156,0.55
0.2729566449578877,0.024506270029394067,0.555
0.2573800046453274,0.022913530690750958,0.56
0.24454200870535583,0.02156253784798519,0.5650000000000001
0.2335516261419475,0.02029036493628081,0.5700000000000001
0.2234364230450028,0.019133057655818353,0.5750000000000001
0.21391103740215603,0.018068988586489497,0.58
0.20445685816503242,0.017110653571023485,0.585
0.1954652198129471,0.0162027825358102,0.59
0.18656839718685359,0.015357390714243146,0.595
0.17870674558495075,0.014526417172748296,0.6
0.17101506683093223,0.01378339513969391,0.605
0.16440953681173762,0.013028357873246016,0.61
0.15811606602204928,0.012345412007159155,0.615
0.15106888834797294,0.01171052707464632,0.62
0.14528950422147946,0.011062665690068496,0.625
0.13955280781417853,0.010442679646963606,0.63
0.13403024932827598,0.009849607726660168,0.635
0.12883075134892302,0.009308922223952415,0.64
0.12370110115451678,0.008810530342789802,0.645
0.11934933995178668,0.008338091365757161,0.65
0.1148145102229248,0.007903139916912258,0.655
0.1106658623934989,0.007487412841496963,0.66
0.10623471711994861,0.0071005223262260815,0.665
0.10172533334947563,0.006714593029626681,0.67
0.0971903606105805,0.006366631870550758,0.675
0.0929512501907536,0.006041739959590366,0.68
0.08887317645194931,0.005730305110030701,0.685
0.08504032477489995,0.005426079400507139,0.6900000000000001
0.08086559220010713,0.005132427096369861,0.6950000000000001
0.0773210335263167,0.004856557337654972,0.7000000000000001
0.07357931198194269,0.004568191736210837,0.705
0.07036576232776634,0.004319236100297401,0.71
0.06735739607998566,0.004067877417705264,0.715
0.06160852400798877,0.0038381461552214357,0.72
0.058917399514658034,0.0036156240327737113,0.725
0.05611733154097563,0.0033878152076328447,0.73
0.05111420025982597,0.003188842942636392,0.735
0.04847157709636342,0.00299131250564716,0.74
0.04595786475611719,0.0028144482700947567,0.745
0.040720848262165266,0.002635180987863653,0.75
0.038107172665604004,0.0024674483296903147,0.755
0.035530447619039056,0.002292987140816613,0.76
0.03265347425074242,0.0021194871706143917,0.765
0.02996779585895985,0.001953676949784014,0.77
0.02717219845731964,0.0017921922129752986,0.775
0.024565217536587625,0.0016297462574951026,0.78
0.02231356177005057,0.0014783543167369317,0.785
0.02063484275385849,0.0013471479680798504,0.79
0.01880831046709797,0.001220267103444431,0.795
0.01718975190898934,0.0011203003616104643,0.8
0.015578987697735127,0.0010049541210328103,0.805
0.014252522123348793,0.0009141189565779077,0.81
0.013133819996218347,0.0008319347601663293,0.8150000000000001
0.012116942010501987,0.0007521536104334519,0.8200000000000001
0.01105484052663786,0.0006824652567511192,0.8250000000000001
0.010069105031252763,0.0006103738563900856,0.8300000000000001
0.00906632756575993,0.0005589486574658815,0.835
0.008291025123692751,0.0005176162545922221,0.84
0.0076836544316373784,0.00047772567972578355,0.845
0.007122990313944378,0.0004411993702095264,0.85
0.006645347824258699,0.00040611488870049,0.855
0.006229435143217235,0.0003748752818773754,0.86
0.0058210079283536765,0.0003426744563827803,0.865
0.005414388156060062,0.0003133572869026266,0.87
0.0050661736947348575,0.00028644316410117405,0.875
0.004708956452599398,0.0002590484319639812,0.88
0.004286663001989153,0.0002379016211914113,0.885
0.0039181767195598785,0.0002167548104188414,0.89
0.0036069391936182416,0.00019464678097479108,0.895
0.0032011211100370623,0.00016917448618055915,0.9
0.002858654204350852,0.00015235315942965127,0.905
0.002547518250681013,0.00013264817666430205,0.91
0.002218125528397173,0.00011102075655599194,0.915
0.0018852365353765781,9.371882046934385e-05,0.92
0.001564837183665455,8.074236840435778e-05,0.925
0.0012519323490318797,6.58434789964108e-05,0.93
0.0009040238557011919,5.190580825994428e-05,0.935
0.0007452508264143577,4.229362154513979e-05,0.9400000000000001
0.0005798416176683216,3.7006918851997315e-05,0.9450000000000001
0.00044946484701431774,3.316204416607551e-05,0.9500000000000001
0.0003254605310952867,3.1239606823114615e-05,0.9550000000000001
0.00022442030528368315,2.9317169480153714e-05,0.96
0.0001253812950503252,2.595290412997214e-05,0.965
8.09192425958893e-05,2.4511076122751467e-05,0.97
5.057452662243082e-05,2.0185592101089445e-05,0.975
2.0229810648972326e-05,1.6340717415167643e-05,0.98
2.0229810648972326e-05,1.393767073646652e-05,0.985
0.0,1.0092796050544723e-05,0.99
0.0,5.2867026931424735e-06,0.995
