pro,fpr,threshold
0.9818953065876888,1.0,0.295
0.9806583801606984,0.9247909733681174,0.3
0.9795343318637706,0.8573723946570303,0.305
0.9781201722767043,0.7950128596318181,0.31
0.9761957544237294,0.737395256224707,0.315
0.9738863132468194,0.6866232173969155,0.32
0.9714657106849768,0.6408429281243374,0.325
0.9695076350644883,0.5993344333926381,0.33
0.9673809443280148,0.5627310354999585,0.335
0.9648590061234279,0.5300371500474746,0.34
0.9621199760730161,0.5007485319739304,0.34500000000000003
0.9590642390455749,0.47353496990200866,0.35000000000000003
0.9541063263312441,0.4484047603683662,0.355
0.9490034987266127,0.4247282884244877,0.36
0.9442656529241581,0.4029277556024668,0.365
0.9392168598537389,0.38239659288894623,0.37
0.9340469725612016,0.3633643377980992,0.375
0.928497117732619,0.3453829773504549,0.38
0.9235415720227136,0.3287244535808774,0.385
0.9174786285094916,0.313161072650006,0.39
0.9124021012450831,0.2985093889139833,0.395
0.9066620628200284,0.28502475133435967,0.4
0.9002719895637856,0.2723780639570792,0.405
0.892760398724692,0.2602393089906802,0.41000000000000003
0.8849851199073331,0.2488970215433402,0.41500000000000004
0.8775933350738849,0.2379354529448096,0.42
0.8665799290669204,0.2274928788060362,0.425
0.8567166848424698,0.21726140543330966,0.43
0.8430813958306139,0.20745766461711485,0.435
0.8324916241308077,0.19806137593451267,0.44
0.8201286618286213,0.18889093741645846,0.445
0.8056635482041479,0.1798984135178237,0.45
0.7949835407787282,0.1715447229417675,0.455
0.782491599090974,0.16340950783100874,0.46
0.7705112455134079,0.1555978576498677,0.465
0.760202200800186,0.1484241189538989,0.47000000000000003
0.7456135300264517,0.14150388554466764,0.47500000000000003
0.7297968878142777,0.13498280773237217,0.48
0.7114940700644768,0.1288857751269831,0.485
0.7023882404031577,0.1231150729634307,0.49
0.6923435321760173,0.11753150379336094,0.495
0.6811825923618592,0.11208067920980096,0.5
0.669964927018311,0.10686123581522691,0.505
0.6573467267263516,0.10181233234082172,0.51
0.6433825155483757,0.09696992044543183,0.515
0.6313459634549238,0.09241973100784483,0.52
0.6193445058715848,0.08812304685699536,0.525
0.605805359307664,0.0839581854552494,0.53
0.5948860602308985,0.0799823007217987,0.535
0.5846157661548841,0.07608016298085343,0.54
0.5753092991372833,0.07239189151817402,0.545
0.5654867940083257,0.06883636464200443,0.55
0.5553821201687541,0.06544861217378478,0.555
0.5462163037094752,0.06212446648660109,0.56
0.536075433087573,0.05892753436148932,0.5650000000000001
0.5252260645819236,0.05587072152213792,0.5700000000000001
0.5142627844201163,0.0528931866997299,0.5750000000000001
0.5024533781947019,0.049982024170576796,0.58
0.49100708044978597,0.04730132099300326,0.585
0.47828046844184746,0.04470358318199836,0.59
0.4684281406746337,0.042180514200905246,0.595
0.4589647589917066,0.03968510034200168,0.6
0.45064646178993806,0.037378663151393356,0.605
0.4417888143206872,0.03514320744107154,0.61
0.4327887586362091,0.03301468486988265,0.615
0.42316518616301524,0.03101061034854672,0.62
0.4133530966681021,0.02904801851049512,0.625
0.4032881247863345,0.027186828787138524,0.63
0.39237595862279395,0.025390167682224206,0.635
0.38013946046244734,0.0236746282690659,0.64
0.36792253878616643,0.022107504678324837,0.645
0.3572880744486551,0.020574489071617547,0.65
0.34458671008136993,0.019127204343697857,0.655
0.3322869273231398,0.017767494169378402,0.66
0.322384023933079,0.01648429649978337,0.665
0.3126869405695823,0.01523889416384738,0.67
0.3030389744156859,0.01411148701592013,0.675
0.2929345387251257,0.01303846827496566,0.68
0.28273394856099315,0.012052102250205109,0.685
0.2734360491033622,0.011108140746135196,0.6900000000000001
0.26430352697583387,0.010256362982697111,0.6950000000000001
0.2552833868629819,0.00939167949557057,0.7000000000000001
0.24572802605989372,0.008583228090229445,0.705
0.23759607533041055,0.00787064777514542,0.71
0.2294110056166307,0.007175582370781441,0.715
0.22113185207528194,0.0066031213414577935,0.72
0.21296305858402959,0.006013145401414098,0.725
0.20353194301450142,0.005481245217968454,0.73
0.19446636765324296,0.005014795490371408,0.735
0.18573319728707688,0.004582453746808138,0.74
0.17576699359878395,0.0041869854994975985,0.745
0.16672394828370773,0.0038117976751260614,0.75
0.15666305224698582,0.003484545395883074,0.755
0.14837810794435513,0.0031554494418274503,0.76
0.1385233450009966,0.002865992496243513,0.765
0.13049580342712,0.002605112510255441,0.77
0.12252695929319685,0.0023783405083011456,0.775
0.11437367297764349,0.0021349754330331214,0.78
0.10718666013797924,0.0019312493662367832,0.785
0.0991589494204771,0.001728445136846763,0.79
0.09200191930877355,0.0015551397044589275,0.795
0.08493529562477156,0.0013901308087279566,0.8
0.07818438478264504,0.0012426368237170328,0.805
0.07216907900171807,0.0010859244646429262,0.81
0.066686205634511,0.0009660856018215506,0.8150000000000001
0.06002281873138982,0.0008490122512191299,0.8200000000000001
0.05459692283300819,0.000761437697618894,0.8250000000000001
0.04849350524086653,0.0006508172088607011,0.8300000000000001
0.04298715650648829,0.000569695517104693,0.835
0.03841428301533314,0.0004959485245992312,0.84
0.03413626175301073,0.0004222015320937693,0.845
0.030798524735689038,0.0003595165884641267,0.85
0.028059483680674728,0.0003042063440850303,0.855
0.024620112616891218,0.00026456733561334446,0.86
0.021700795085942328,0.00022400648973534048,0.865
0.019177785090765436,0.0001843674812636547,0.87
0.016381120959021358,0.00014933765982356033,0.875
0.014250864144339724,0.00011983886282137557,0.88
0.011710944450243366,9.863660247605527e-05,0.885
0.009363573655915006,7.743434213073497e-05,0.89
0.007914840002963941,6.360678103596087e-05,0.895
0.006867223046991369,4.4248195503277135e-05,0.9
0.006088361375768967,3.7795333659049215e-05,0.905
0.005336922588418502,2.765512218954821e-05,0.91
