pro,fpr,threshold
0.9535986977710988,1.0,0.29
0.9512653177104868,0.8870108262758652,0.295
0.949480457015213,0.7916760752454709,0.3
0.9472709904073272,0.7120038163677013,0.305
0.9404109442624036,0.6455114255299614,0.31
0.9356732344525762,0.5902206197999509,0.315
0.9331677901814031,0.5443038602881878,0.32
0.9306633167098254,0.5060080496078173,0.325
0.9268108257960168,0.47252984483909466,0.33
0.9239238564936746,0.4440745804600981,0.335
0.9208553907796564,0.4189741464661378,0.34
0.9163459030528639,0.39597606457552215,0.34500000000000003
0.910865331113884,0.3752211532973863,0.35000000000000003
0.905884779869526,0.35638249036602887,0.355
0.9008665034172049,0.33863811752328155,0.36
0.8942934822963685,0.32187016905665244,0.365
0.8872399052011125,0.3061102826047578,0.37
0.8794200759495103,0.2912356296882638,0.375
0.8714354088972803,0.27694596291324336,0.38
0.8627381735121797,0.26342180292356593,0.385
0.8538777165667623,0.2505192294808201,0.39
0.8446205709210676,0.2382413443142821,0.395
0.8341052399109667,0.2264622172153419,0.4
0.8222156365095749,0.21528358490425584,0.405
0.8098451908941284,0.2044932890985382,0.41000000000000003
0.7958531478125469,0.1943034880806747,0.41500000000000004
0.7805828124445915,0.18461926893481653,0.42
0.7624653973654094,0.17524212098729283,0.425
0.7426012457086631,0.1662092649894169,0.43
0.723178223147521,0.15758893898526308,0.435
0.7035066018301107,0.14928809109654814,0.44
0.6795033957435987,0.14133835896188843,0.445
0.6395785053004496,0.13386319140647293,0.45
0.6072754346637997,0.12673355649241563,0.455
0.5803124985235543,0.11988183652149746,0.46
0.5572422481211413,0.11343954481502527,0.465
0.5345683445753392,0.1071703296021598,0.47000000000000003
0.5111842029254157,0.10129937642834633,0.47500000000000003
0.4910042000774998,0.09558102833491729,0.48
0.47063783809276033,0.09004754330634415,0.485
0.45293301013468795,0.0846685243957211,0.49
0.4359038222780568,0.07943218503179893,0.495
0.41911735239028236,0.07440428187523108,0.5
0.40180160173023005,0.06948307820576127,0.505
0.3843128204769343,0.06461336324227483,0.51
0.36810257729996604,0.05994153860660395,0.515
0.35041053730361266,0.055467604298748634,0.52
0.33398726489064673,0.051236845566140034,0.525
0.31905829465625607,0.04722134684529319,0.53
0.3050149629466057,0.043354110783844206,0.535
0.2897394403530838,0.03954270584936514,0.54
0.27506480664161986,0.035862193890337735,0.545
0.2603231071059299,0.03250426177602537,0.55
0.24581733299372813,0.029303897508939185,0.555
0.23139516543372732,0.026275369043749268,0.56
0.2167871581338848,0.023633316046362166,0.5650000000000001
0.20381167857795546,0.021278483179942482,0.5700000000000001
0.1926683503606855,0.019188537993702248,0.5750000000000001
0.18246007316342105,0.017300205210408908,0.58
0.1734880839683674,0.015537802635725469,0.585
0.16385801136658767,0.01392428306629512,0.59
0.15367916300517157,0.012496246907575911,0.595
0.14509065796489384,0.0112115106414128,0.6
0.13746846006436914,0.010075657380502779,0.605
0.1307295214170808,0.009033476343731157,0.61
0.123229414235289,0.0081687142215528,0.615
0.11559318539604263,0.007330626971148955,0.62
0.10943558938485573,0.006576906757055193,0.625
0.10161469655328477,0.00595656090183399,0.63
0.09508717544874781,0.005357306805690309,0.635
0.08782268606773867,0.004845521475132815,0.64
0.08110512287755539,0.004348004099245411,0.645
0.07448379604531195,0.0039007347376309237,0.65
0.06900306113823282,0.0034516043384507727,0.655
0.06501935876098121,0.003044037111570443,0.66
0.060545578233239895,0.002692301011660021,0.665
0.05672008048180041,0.00239267396358818,0.67
0.05294040427632181,0.0021135183287386383,0.675
0.04985696781391077,0.0018678613700710417,0.68
0.04625588567663554,0.0016588048168614967,0.685
0.043727604763949164,0.0014727010602951357,0.6900000000000001
0.04103675794501854,0.0013101704462271805,0.6950000000000001
0.039082435760903506,0.0011668705536710827,0.7000000000000001
0.03620330990808653,0.0010502455328894964,0.705
0.03400709562628521,0.000944786737501892,0.71
0.03215955630345868,0.0008480127840873843,0.715
0.029847240823290457,0.0007605440185011948,0.72
0.027303999234405178,0.000681760094888102,0.725
0.025332744104206644,0.0006153830883794333,0.73
0.02265085617496619,0.0005459043525946586,0.735
0.02075638407886805,0.00048573080463820185,0.74
0.01771725026246615,0.0004292793318130724,0.745
0.015571421230551127,0.000379031317540155,0.75
0.014502372857088046,0.00033312572425378594,0.755
0.013375873455786525,0.0002946642812300714,0.76
0.01232650559523694,0.0002586842216272416,0.765
0.011185440788286984,0.0002295279664318451,0.77
0.010205695399486002,0.00020595482393343935,0.775
0.009243332904607438,0.0001736968394619368,0.78
0.008235950874333728,0.00015446611795007952,0.785
0.007493907655540785,0.0001321336671621162,0.79
0.006682947233283078,0.0001042181036771621,0.795
0.00603753132431779,8.74687655861896e-05,0.8
0.005575481053741367,6.947873578477472e-05,0.805
0.005153666070406657,6.079389381167788e-05,0.81
0.004810550131904334,5.459043525946586e-05,0.8150000000000001
0.004537837587729975,4.652593914159022e-05,0.8200000000000001
0.004358030212245981,3.846144302371458e-05,0.8250000000000001
0.004091072039138248,3.225798447150255e-05,0.8300000000000001
0.003959203503122193,2.977660105061774e-05,0.835
0.0037651364983539264,2.4813834208848115e-05,0.84
0.0035531420503698077,2.10917590775209e-05,0.845
0.0033758602536816374,1.736968394619368e-05,0.85
0.0031987416334414314,1.550864638053007e-05,0.855
0.003009698580465319,1.1166225393981653e-05,0.86
0.002843770098945177,9.925533683539248e-06,0.865
0.0026436184954729833,6.823804407433232e-06,0.87
0.0024775268375048765,4.962766841769624e-06,0.875
0.0023231964358247114,3.1017292761060144e-06,0.88
0.002157186366080587,1.240691710442406e-06,0.885
0.0020083694455364713,0.0,0.89
0.001825410991264286,0.0,0.895
0.0016825154929761325,0.0,0.9
0.0014880405470879532,0.0,0.905
0.0012937287776477388,0.0,0.91
0.0011739478508155559,0.0,0.915
0.001019209508015478,0.0,0.92
0.0009616270499355076,0.0,0.925
0.000892528100239543,0.0,0.93
0.0008061544131195872,0.0,0.935
0.0007658466924636079,0.0,0.9400000000000001
0.0006852312511516492,0.0,0.9450000000000001
0.0005988575640316934,0.0,0.9500000000000001
0.0005700663349917081,0.0,0.9550000000000001
0.0004952091394877465,0.0,0.96
0.00042035194398378476,0.0,0.965
0.0003742859775198084,0.0,0.97
0.0003109452736318408,0.0,0.975
0.00024760456974387324,0.0,0.98
0.00019578035747189976,0.0,0.985
0.00012668140777593513,0.0,0.99
6.334070388796757e-05,0.0,0.995
