pro,fpr,threshold
0.9925953337756047,1.0,0.28
0.9915734716976371,0.9348410863042786,0.28500000000000003
0.9904494966679861,0.871856328607904,0.29
0.9890996725656316,0.8120231944360864,0.295
0.9876799113995146,0.7558617962362773,0.3
0.986194032769477,0.7032307150041694,0.305
0.984581275043127,0.6531481847645738,0.31
0.9830303074625993,0.6062701489842762,0.315
0.9812550119740582,0.5618761874468067,0.32
0.9796239504213092,0.5201051400864849,0.325
0.9777485044410886,0.48031094987147627,0.33
0.9757579675915191,0.4429887982393549,0.335
0.9737162981662276,0.40848471041342493,0.34
0.971500579592678,0.37623816851643294,0.34500000000000003
0.9688697343337923,0.34637984542773875,0.35000000000000003
0.9661157441067122,0.3186251837587366,0.355
0.9630767240261325,0.29299008777434854,0.36
0.9601142954428515,0.26956310554414076,0.365
0.956580121068964,0.24794491106506994,0.37
0.952664879360592,0.22791929230319546,0.375
0.9482516443631597,0.2093130217243662,0.38
0.9435682115068275,0.191863464034869,0.385
0.9379653860870477,0.1758508781733307,0.39
0.9321728388759632,0.1611940234351493,0.395
0.9262857890691392,0.1476801265463674,0.4
0.9196404385965166,0.1351144677229391,0.405
0.9129257044576546,0.12360622759432947,0.41000000000000003
0.9062859070909786,0.11294607164656424,0.41500000000000004
0.8983408051551278,0.10320492430429587,0.42
0.8906306571934695,0.09434238013772234,0.425
0.8824405381300092,0.0864371007814582,0.43
0.8740755689736119,0.0791155509323338,0.435
0.8645718368105996,0.07263434805409169,0.44
0.8542437796733185,0.06664617738843373,0.445
0.8425053959472927,0.061074956370732715,0.45
0.8302466960625379,0.056134317964941845,0.455
0.8175086623318071,0.05160117261715425,0.46
0.8030353135143687,0.04741620171766062,0.465
0.7899968549793903,0.04355146534159782,0.47000000000000003
0.7761072092492526,0.03999449798402696,0.47500000000000003
0.7619175452899563,0.03685405042941515,0.48
0.7467611507863648,0.033990423053446926,0.485
0.7305868667098011,0.031383842986219164,0.49
0.7126305148872845,0.028953929213125746,0.495
0.696319787144658,0.026710138324120322,0.5
0.6799433983217772,0.02465977768416709,0.505
0.6645747597602658,0.02270914108372521,0.51
0.6480228355941763,0.020901213022584055,0.515
0.6303639403864268,0.01919343884595215,0.52
0.6112974599811551,0.01767608600338718,0.525
0.5901008627942753,0.016275221155251415,0.53
0.5688228290380715,0.014981817556589096,0.535
0.5513625468258693,0.013729249232726679,0.54
0.5334204213414615,0.012556632078472503,0.545
0.5116217074031744,0.011509099818605411,0.55
0.49398001878241565,0.010537650123365515,0.555
0.47493920913379345,0.009664634932643289,0.56
0.45518521316634,0.008850078661634614,0.5650000000000001
0.4352923558901319,0.008113754180242603,0.5700000000000001
0.41397514420121057,0.0073976324137516,0.5750000000000001
0.3950157127216706,0.006751145536919387,0.58
0.3749021017403445,0.00615924897481968,0.585
0.35570595752031126,0.005618933812467224,0.59
0.3340262570031833,0.005124612064889401,0.595
0.3116863365448145,0.004660809312162034,0.6
0.2919087516226194,0.004237411989236681,0.605
0.27154733031154843,0.003802408851368196,0.61
0.25139341379304037,0.003405232073314363,0.615
0.23388711668325396,0.003072961889942487,0.62
0.21593501742798268,0.002788404501336818,0.625
0.19912026785445885,0.0025330765725879245,0.63
0.18539266304643348,0.0022992408937337195,0.635
0.17240014164788706,0.002096354054727865,0.64
0.16034326223783535,0.0019166788456082735,0.645
0.14889620632914755,0.0017481796064339199,0.65
0.13897731678097006,0.001608479982118448,0.655
0.12916846612607574,0.0014821055527376827,0.66
0.11924864586469716,0.001360029573335855,0.665
0.10944171823982912,0.0012590159988308217,0.67
0.10039963830104315,0.0011610113393110443,0.675
0.0906698792568394,0.0010612872997996922,0.68
0.08293264225943023,0.000972309385235684,0.685
0.07423576277078085,0.0008927880606253386,0.6900000000000001
0.067508785194569,0.0008227233259686557,0.6950000000000001
0.0607621078649533,0.0007539481263056541,0.7000000000000001
0.05484142896899254,0.0006984981215773592,0.705
0.04881891078892556,0.0006520748618048331,0.71
0.042996141907836204,0.000602212842049157,0.715
0.0386227116408675,0.0005618074122471436,0.72
0.03445184841563279,0.0005188229124577677,0.725
0.03142598630181304,0.0004784174826557543,0.73
0.02873289418393119,0.0004418806578347847,0.735
0.024256984466812837,0.0004066333680074965,0.74
0.022079345854552786,0.0003709562331823144,0.745
0.018955563583469757,0.00033398956336345113,0.75
0.016240385735868435,0.0002974527385424816,0.755
0.015085958586161848,0.00027209188366674977,0.76
0.013225844512690408,0.00025317870375942433,0.765
0.011636601030376111,0.0002334058338563114,0.77
0.010831286577028351,0.00021449265394898602,0.775
0.009755154461767918,0.00019686900903534185,0.78
0.008551476822829262,0.00018182443410906028,0.785
0.00788264943512824,0.0001611918742101598,0.79
0.007138724015174265,0.0001422786943028344,0.795
0.006585643404395167,0.00012594458438287153,0.8
0.006270954452623505,0.00011218954445027124,0.805
0.005928892364598305,0.00010101357450503349,0.81
0.005659758900511117,9.155698455137077e-05,0.8150000000000001
0.005351307828638422,8.081085960402679e-05,0.8200000000000001
0.0049477371928622884,7.565271962930166e-05,0.8250000000000001
0.0046400869155864355,6.963488965878904e-05,0.8300000000000001
0.004332880631867377,6.36170596882764e-05,0.835
0.00396766615899235,5.888876471144505e-05,0.84
0.003616673571087346,5.373062473671994e-05,0.845
0.003385474119341196,4.9862019755676104e-05,0.85
0.0030160742933349662,4.556356977673851e-05,0.855
0.0027293631727574067,4.0405429802013394e-05,0.86
0.002422803926268708,3.6966669818863316e-05,0.865
0.002076112440459299,3.266821983992572e-05,0.87
0.0018550148700719918,2.8799614858881887e-05,0.875
0.0016682637609140088,2.708023486730685e-05,0.88
0.0015724468114320515,2.2781784888369255e-05,0.885
0.0014076617044729942,2.0632559898900455e-05,0.89
0.00125687243158017,1.7623644913644142e-05,0.895
0.0011404146187448075,1.4614729928387823e-05,0.9
0.0010497214600482248,1.2895349936812786e-05,0.905
0.0009873617693522906,7.737209962087671e-06,0.91
0.0009457886422216679,7.307364964193911e-06,0.915
0.0009042155150910451,6.447674968406393e-06,0.92
0.0008418558243951111,5.158139974725114e-06,0.925
0.0007587095701338656,3.8686049810438355e-06,0.93
0.0007171364430032427,3.438759983150076e-06,0.935
0.0006859565976552757,3.0089149852563166e-06,0.9400000000000001
0.0006235969069593414,1.719379991575038e-06,0.9450000000000001
0.0005508439344807516,1.2895349936812784e-06,0.9500000000000001
0.000509270807350129,8.59689995787519e-07,0.9550000000000001
0.0004573043984368504,8.59689995787519e-07,0.96
0.0003845514259582606,0.0,0.965
0.00033258501704498217,0.0,0.97
0.00028061860813170363,0.0,0.975
0.0002390454810010809,0.0,0.98
0.00015589922673983536,0.0,0.985
0.00012471938139186828,0.0,0.99
4.157312713062277e-05,0.0,0.995
